0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:20 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:22 +0530] "GET /PhoneBookProject/Usersignup.jsp HTTP/1.1" 200 7265
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:22 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:22 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:22 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:22 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:52:57 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 29305
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:00 +0530] "GET /PhoneBookProject/Login.jsp HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:00 +0530] "GET /assets/vendors/js/vendor.bundle.base.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:00 +0530] "GET /assets/js/misc.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:00 +0530] "GET /assets/js/off-canvas.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:00 +0530] "GET /assets/js/hoverable-collapse.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Jul/2023:13:53:08 +0530] "POST /PhoneBookProject/PhoneBookController HTTP/1.1" 200 34098
